geoid,name,PctBachHigher,MedHHIncome,PctTravel60MinMore
05000US12049,"Hardee County, FL",8.7,36115,5.9
05000US12051,"Hendry County, FL",9.7,35736,12.3
05000US12053,"Hernando County, FL",15.7,41098,16.8
05000US12055,"Highlands County, FL",15.2,35350,5.8
05000US12057,"Hillsborough County, FL",29.0,49450,5.7
05000US12059,"Holmes County, FL",11.0,34928,10.5
05000US12061,"Indian River County, FL",26.8,45274,5.5
05000US12063,"Jackson County, FL",13.6,38917,6.7
05000US12065,"Jefferson County, FL",15.3,41163,5.2
05000US12067,"Lafayette County, FL",10.8,44180,5.9
05000US12069,"Lake County, FL",20.2,45663,8.5
05000US12071,"Lee County, FL",24.6,48453,6.4
05000US12073,"Leon County, FL",43.5,45915,1.9
05000US12075,"Levy County, FL",11.4,35093,8
05000US12077,"Liberty County, FL",11.8,39225,15.5
05000US12079,"Madison County, FL",10.3,34361,13.9
05000US12081,"Manatee County, FL",26.0,47910,5.3
05000US12083,"Marion County, FL",17.1,39770,6
05000US12085,"Martin County, FL",29.6,50573,5.3
05000US12086,"Miami-Dade County, FL",26.3,43464,9.4
05000US12087,"Monroe County, FL",28.3,53418,5
05000US12089,"Nassau County, FL",22.5,57163,6.6
05000US12091,"Okaloosa County, FL",27.2,54118,4.8
05000US12093,"Okeechobee County, FL",10.3,34289,10.8
05000US12095,"Orange County, FL",29.7,48429,5.6
05000US12097,"Osceola County, FL",17.5,44887,9
05000US12099,"Palm Beach County, FL",32.5,52806,6.1
05000US12101,"Pasco County, FL",20.0,43787,11
05000US12103,"Pinellas County, FL",27.2,46051,4.4
05000US12105,"Polk County, FL",18.2,43606,7.2
05000US12107,"Putnam County, FL",12.3,34429,11.8
05000US12109,"St. Johns County, FL",40.7,64346,5
05000US12111,"St. Lucie County, FL",19.1,43923,9.5
05000US12113,"Santa Rosa County, FL",25.8,57491,7
05000US12115,"Sarasota County, FL",29.9,48900,4.2
05000US12117,"Seminole County, FL",33.6,58577,5.7
05000US12119,"Sumter County, FL",22.6,46981,9.2
05000US12121,"Suwannee County, FL",9.8,36159,11.3
05000US12123,"Taylor County, FL",11.0,34634,7.8
05000US12125,"Union County, FL",10.1,43750,4.5
05000US12127,"Volusia County, FL",21.0,43419,7.7
05000US12129,"Wakulla County, FL",16.5,53385,7.8
05000US12131,"Walton County, FL",24.2,44254,10.5
05000US12133,"Washington County, FL",12.1,38536,12.6
05000US13001,"Appling County, GA",11.3,35875,7.4
05000US13003,"Atkinson County, GA",8.7,28682,2.7
05000US13005,"Bacon County, GA",8.9,33557,10
05000US13007,"Baker County, GA",7.0,24219,5.2
05000US13009,"Baldwin County, GA",19.3,35278,5.5
